	Kingdom	Phylum	Class	Order	Family	Genus
ASV_4368	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter
ASV_4369	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group
ASV_4370	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA
ASV_4371	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus
ASV_4372	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
ASV_4373	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea
ASV_4374	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV_4375	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria
ASV_4376	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis
ASV_4377	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA
ASV_4378	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
ASV_4379	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_4380	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum
ASV_4381	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	NA
ASV_4382	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA
ASV_4383	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA
ASV_4384	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA
ASV_4385	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA
ASV_4386	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_4387	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_4388	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis
ASV_4389	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA
ASV_4390	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Candidatus Tammella
ASV_4391	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA
ASV_4392	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_4393	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis
ASV_4394	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA
ASV_4395	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 4
ASV_4396	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus
ASV_4397	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	NA
ASV_4398	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter
ASV_4399	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA
ASV_4400	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA
ASV_4401	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV_4402	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus
ASV_4403	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	NA	NA
ASV_4404	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_4405	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_4406	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
ASV_4407	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA
ASV_4408	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA
ASV_4409	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA
ASV_4410	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
